Fecha;Lugar_Extraccion;Departamento;Tipo_Muestra;Tipo_Analisis;Operador_Solicitante;Observaciones
02/01/2017;Corralcoop, Pozo Nuevo, Arenas Country;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
09/01/2017;Union Vecinal El Pastal;Las Heras;Agua;Bacteriológico, Completo;O.G.C.;
09/01/2017;Pozo Goyochea y San Esteban El Pastal;Las Heras;Agua;Completo;O.G.C.;Factibilidad
11/01/2017;Coop. Cptan. Montoya Pozo Nuevo;San Rafael;Agua;Bacteriológico, Completo;O.G.C.;Factibilidad
11/01/2017;Red C. Montoya H Irigoyen 4071, mezcla;San Rafael;Agua;Bacteriológico, Básico;O.G.C.;
11/01/2017;Coop. Leuta salida Planta;San Rafael;Agua;In Situ;O.G.C.;
11/01/2017;Coop. leuta Entrada Planta;San Rafael;Agua;In Situ;O.G.C.;
11/01/2017;Coop. Leuta, calle Ferrer, Cnia López;San Rafael;Agua;Bacteriológico, In Situ;O.G.C.;
11/01/2017;Red. Coop. Leuta, calle Los Arribas, Cnia López;San Rafael;Agua;Bacteriológico, In Situ;O.G.C.;
17/01/2017;Coop Bayo Ltda. Pozo Nuevo;San Martin;Agua;Bacteriológico, Completo;O.G.C.;Factibilidad
17/01/2017;Union Vec El Ñango reclamo;San Martin;Agua;Bacteriológico, In Situ;O.G.C.;
19/01/2017;Coop Monte Comán Pozo 1, seriado;San Rafael;Agua;Básico;O.G.C.;Seriado por fuera de normas
19/01/2017;Coop Real del Padre , seriado;San Rafael;Agua;Básico;O.G.C.;Seriado por fuera de normas
19/01/2017;U. Vec. Atuel Norte, seriado;San Rafael;Agua;Básico;O.G.C.;Seriado por fuera de normas
19/01/2017;U. Vecinal Las Malvinas;San Rafael;Agua;In Situ;O.G.C.;Seriado por fuera de normas
30/01/2017;U. Vecinal Poste de Hierro Pozo Nuevo;Gral Alvear;Agua;Bacteriológico, Completo;O.G.C.;Factibilidad
30/01/2017;U. Vecinal El Ceibo;Gral Alvear;Agua;Bacteriológico, In Situ;O.G.C.;
30/01/2017;Coop. Leuta  salida Planta;San Rafael;Agua;Bacteriológico, Básico;O.G.C.;
30/01/2017;Red Coop. Leuta;San Rafael;Agua;Bacteriológico, Básico;O.G.C.;
30/01/2017;U. Vec. L. Tirasso, Pozo Nuevo;San Rafael;Agua;Bacteriológico, Completo;O.G.C.;Factibilidad
30/01/2017;Coop. Capitan Montoya, Pozo nuevo;San Rafael;Agua;Bacteriológico, Básico;O.G.C.;
03/02/2017;AySAM La Paz Pozo 6;La Paz;Agua;Bacteriológico, Básico;AySAM;
03/02/2017;Aysam LA Paz, Bº Corocorteña Mna 1 casa 6;La Paz;Agua;Bacteriológico, Básico;AySAM;
03/02/2017;AySAM Desaguadero , Cisterna;La Paz;Agua;Bacteriológico, Básico;AySAM;
07/02/2017;U.V. Bº Jardìn El Saue;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
07/02/2017;Reclamo Sr Torrasca, Corralcoop;Gllen;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
21/02/2017;U.V. Los Sauces, Oficio 638/17, Tanque;Tunuyan;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
21/02/2017;U.V. Los Sauces, Oficio 638/17, Pileta;Tunuyan;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
21/02/2017;U.V. Los Sauces, Oficio 638/17, manguera;Tunuyan;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
15/03/2017;Red AySAM Esc Montesori;Gllen;Agua;Bacteriológico, Básico;AySAM;
16/03/2017;Corralcoop Cnia Segovia Pozo 1;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
16/03/2017;Corralcoop Cnia Segovia Pozo 2;Gllen;Agua;Bacteriológico, Completo;O.G.C.;
16/03/2017;Corralcoop Cnia Segovia Red;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
16/03/2017;Red AySAM 20Junio 3831;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
16/03/2017;Red AySAM. M Hoyos 3257;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
16/03/2017;Red AySAM M Hoyos 2643 Soderìa;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
16/03/2017;Red AySAM Allayme 2431, corralón;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
16/03/2017;Red AySAM Moreno 3297 frente esc Bolivia;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
16/03/2017;Red AySAM Sarmiento 2185, despensa;Gllen;Agua;Básico;AySAM;Control de Nitratos en red
20/03/2017;Corralcoop Colonia Molina;Gllen;Agua;Bacteriológico, Completo;O.G.C.;Factibilidad
21/03/2017;Oficio Fca Rosa Sanchez;Rivadavia;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
11/04/2017;Fca. Manuelli - grifo entrada -Medrano;Rivadavia;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
11/04/2017;Fca. Manuelli - baño BT -Medrano;Rivadavia;Agua;Bacteriológico, Básico;O.G.C.;Oficio Judicial
17/04/2017;Red A.I y P Bº Urquiza, Reclamo 792/17;Tunuyan;Agua;Bacteriológico, In Situ;O.G.C., Reclamo;
17/04/2017;Coop. Rodriguez Peña;Junin;Agua;Bacteriológico, Completo;O.G.C.;
25/04/2017;Reclamo Bº Paraguay D 5;Gllen;Agua;Bacteriológico, In Situ;AySAM, Reclamo;
25/04/2017;Reclamo Bº Paraguay D 7;Gllen;Agua;In Situ;AySAM, Reclamo;
25/04/2017;Reclamo Bº Paraguay D 15;Gllen;Agua;In Situ;AySAM, Reclamo;
26/04/2017;Recl. 1269/17-Aysam C. de Araujo;Lavalle;Agua;Bacteriológico, Básico;AySAM, Reclamo;
26/04/2017;Rec 1269/17-Aysam C. de Araujo.Urquiza a pte;Lavalle;Agua;In Situ;AySAM, Reclamo;
26/04/2017;Rec 1269/17-Aysam C. de Araujo.Urquiza 800;Lavalle;Agua;In Situ;AySAM, Reclamo;
26/04/2017;Rec1269/17-Aysam C. de Araujo.Pozo 5;Lavalle;Agua;Bacteriológico, Básico;AySAM, Reclamo;
