FECHA ;LUGAR DE EXTRACCION;; MUESTRA;; ANALISIS;;;;OPERADOR;;;;;;;OBSERVACIONES
;;DEPTO;AGUA;EFLUENTE;BACTER.;IN SITU;BASICO;COMPLETO;AySAM;O.G.C.;D.G.E.;D.G.I.;OTROS;P.T.L.C.;RECLAMO;
02/01/2017;Corralcoop, Pozo Nuevo, Arenas Country;Gllen;1;;1;;;1;;1;;;;;;
09/01/2017;Union Vecinal El Pastal;Las Heras;1;;1;;;1;;1;;;;;;
09/01/2017;Pozo Goyochea y San Esteban El Pastal;Las Heras;1;;;;;1;;1;;;;;;Factibilidad
11/01/2017;Coop. Cptan. Montoya Pozo Nuevo;San Rafael;1;;1;;;1;;1;;;;;;Factibilidad
11/01/2017;Red C. Montoya H Irigoyen 4071, mezcla;San Rafael;1;;1;;1;;;1;;;;;;
11/01/2017;Coop. Leuta  salida Planta;San Rafael;1;;;1;;;;1;;;;;;
11/01/2017;Coop. leuta Entrada Planta;San Rafael;1;;;1;;;;1;;;;;;
11/01/2017;Coop. Leuta, calle Ferrer, Cnia López;San Rafael;1;;1;1;;;;1;;;;;;
11/01/2017;Red. Coop. Leuta, calle Los Arribas, Cnia López;San Rafael;1;;1;1;;;;1;;;;;;
17/01/2017;Coop Bayo Ltda. Pozo Nuevo;San Martin;1;;1;;;1;;1;;;;;;Factibilidad
17/01/2017;Union Vec El Ñango reclamo ;San Martin;1;;1;1;;;;1;;;;;;
19/01/2017;Coop Monte Comán Pozo 1, seriado;San Rafael;1;;;;1;;;1;;;;;;Seriado por fuera de normas
19/01/2017;Coop Real del Padre , seriado;San Rafael;1;;;;1;;;1;;;;;;Seriado por fuera de normas
19/01/2017;U. Vec. Atuel Norte, seriado;San Rafael;1;;;;1;;;1;;;;;;Seriado por fuera de normas
19/01/2017;U. Vecinal Las Malvinas;San Rafael;1;;;1;;;;1;;;;;;Seriado por fuera de normas
30/01/2017;U. Vecinal Poste de Hierro Pozo Nuevo;Gral Alvear;1;;1;;;1;;1;;;;;;factibilidad
30/01/2017;U. Vecinal El Ceibo;Gral Alvear;1;;1;1;;;;1;;;;;;
30/01/2017;Coop. Leuta, salida Planta;San Rafael;1;;1;;1;;;1;;;;;;
30/01/2017;Red Coop. Leuta;San Rafael;1;;1;;1;;;1;;;;;;
30/01/2017;U. Vec. L. Tirasso, Pozo Nuevo;San Rafael;1;;1;;;1;;1;;;;;;Factibilidad
30/01/2017;Coop. Capitan Montoya, Pozo nuevo;San Rafael;1;;1;;1;;;1;;;;;;
03/02/2017;Aysam La Paz Pozo 6;La Paz;1;;1;;1;;1;;;;;;;
03/02/2017;Aysam LA Paz, Bº Corocorteña Mna 1 casa 6;La Paz;1;;1;;1;;1;;;;;;;
03/02/2017;AySAM Desaguadero , Cisterna;La Paz;1;;1;;1;;1;;;;;;;
07/02/2017;U.V. Bº Jardìn El Saue;Gllen;1;;1;;1;;;1;;;;;;
07/02/2017;Reclamo Sr Torrasca, Corralcoop;Gllen;1;;1;;1;;;1;;;;;1;
21/02/2017;U.V. Los Sauces, Oficio 638/17, Tanque;Tunuyan;1;;1;;1;;;1;;;;;;oficio Judicial
21/02/2017;U.V. Los Sauces, Oficio 638/17, Pileta;Tunuyan;1;;1;;1;;;1;;;;;;oficio Judicial
21/02/2017;U.V. Los Sauces, Oficio 638/17, manguera;Tunuyan;1;;1;;1;;;1;;;;;;oficio Judicial
15/03/2017;Red AySAM Esc Montesori;Gllen;1;;1;;1;;1;;;;;;;
16/03/2017;Corralcoop Cnia Segovia Pozo 1;Gllen;1;;1;;;1;;1;;;;;;
16/03/2017;Corralcoop Cnia Segovia Pozo 2;Gllen;1;;1;;;1;;1;;;;;;
16/03/2017;Corralcoop Cnia Segovia Red;Gllen;1;;1;;1;;;1;;;;;;
16/03/2017;Red AySAM  20Junio 3831;Gllen;1;;;;1;;1;;;;;;;Control de Nitratos en red
16/03/2017;Red AySAM. M Hoyos 3257;Gllen;1;;;;1;;1;;;;;;;Control de Nitratos en red
